@relation mushroom-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1

@attribute Edibility {p,e}
@attribute CapShape {x,b,s,f,k,c}
@attribute CapSurface {s,y,f,g}
@attribute CapColor {n,y,w,g,e,p,b,u,c,r}
@attribute Bruises {t,f}
@attribute Odor {p,a,l,n,f,c,y,s,m}
@attribute GillAttachment {f,a}
@attribute GillSpacing {c,w}
@attribute GillSize {n,b}
@attribute GillColor {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute StalkShape {e,t}
@attribute StalkSurfaceAboveRing {s,f,k,y}
@attribute StalkSurfaceBelowRing {s,f,y,k}
@attribute StalkColorAboveRing {w,g,p,n,b,e,o,c,y}
@attribute StalkColorBelowRing {w,p,g,b,n,e,y,o,c}
@attribute VeilType {p}
@attribute VeilColor {w,n,o,y}
@attribute RingNumber {o,t,n}
@attribute RingType {p,e,l,f,n}
@attribute SporePrintColor {k,n,u,h,w,r,o,y,b}
@attribute Population {s,n,a,v,y,c}
@attribute Habitat {u,g,m,d,p,w,l}

@data
p,x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u
e,x,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,y,u
p,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u
e,f,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u
p,x,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,u
p,x,y,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u
p,x,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,u
e,f,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,y,u
e,f,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,k,y,u
p,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u
e,f,f,n,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,n,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,u
p,x,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u
p,x,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,u
e,x,f,n,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u
p,f,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u
p,f,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u
p,x,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,s,u
p,f,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,u
p,f,s,n,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,s,u
p,f,s,n,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,u
p,f,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
p,f,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,u
p,f,s,w,t,f,f,c,b,p,t,f,f,w,w,p,w,o,p,h,s,u
p,f,s,b,t,f,f,c,b,p,t,f,f,w,w,p,w,o,p,h,v,u
p,x,s,g,t,f,f,c,b,p,t,f,s,w,w,p,w,o,p,h,s,u
p,x,s,g,t,f,f,c,b,p,t,s,f,w,w,p,w,o,p,h,s,u
p,x,s,b,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,s,u
p,f,s,g,t,f,f,c,b,w,t,s,f,w,w,p,w,o,p,h,s,u
p,f,s,g,t,f,f,c,b,h,t,s,f,w,w,p,w,o,p,h,s,u
p,x,s,g,t,f,f,c,b,w,t,f,s,w,w,p,w,o,p,h,s,u
p,x,s,b,t,f,f,c,b,p,t,f,s,w,w,p,w,o,p,h,s,u
p,x,s,b,t,f,f,c,b,p,t,s,f,w,w,p,w,o,p,h,v,u
p,x,s,b,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,h,v,u
p,x,s,b,t,f,f,c,b,p,t,f,f,w,w,p,w,o,p,h,s,u
p,f,s,g,t,f,f,c,b,w,t,f,s,w,w,p,w,o,p,h,v,u
p,f,s,b,t,f,f,c,b,w,t,s,s,w,w,p,w,o,p,h,v,u
e,x,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g
e,b,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g
e,b,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g
e,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,g
e,b,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
p,f,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g
e,x,s,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,s,g
e,x,s,n,f,n,f,w,b,k,t,f,s,w,w,p,w,o,e,n,s,g
e,x,y,y,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,g
p,x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,g
e,x,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g
e,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g
e,f,y,n,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,g
e,f,y,y,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,g
e,x,s,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,s,g
e,b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g
e,x,f,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g
p,x,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g
e,x,y,n,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,g
