@relation mushroom-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N10-F1

@attribute Edibility {p,e}
@attribute CapShape {x,b,s,f,k,c}
@attribute CapSurface {s,y,f,g}
@attribute CapColor {n,y,w,g,e,p,b,u,c,r}
@attribute Bruises {t,f}
@attribute Odor {p,a,l,n,f,c,y,s,m}
@attribute GillAttachment {f,a}
@attribute GillSpacing {c,w}
@attribute GillSize {n,b}
@attribute GillColor {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute StalkShape {e,t}
@attribute StalkSurfaceAboveRing {s,f,k,y}
@attribute StalkSurfaceBelowRing {s,f,y,k}
@attribute StalkColorAboveRing {w,g,p,n,b,e,o,c,y}
@attribute StalkColorBelowRing {w,p,g,b,n,e,y,o,c}
@attribute VeilType {p}
@attribute VeilColor {w,n,o,y}
@attribute RingNumber {o,t,n}
@attribute RingType {p,e,l,f,n}
@attribute SporePrintColor {k,n,u,h,w,r,o,y,b}
@attribute Population {s,n,a,v,y,c}
@attribute Habitat {u,g,m,d,p,w,l}

@data
p,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,s,u
p,x,?,n,t,p,f,c,n,k,e,s,?,w,w,p,w,o,p,n,v,u
e,s,f,g,f,n,f,c,n,p,?,s,s,w,w,p,w,?,?,n,y,?
e,?,f,g,?,n,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,?
e,s,f,n,f,n,f,c,n,?,e,s,s,w,w,p,w,o,p,n,v,u
p,x,y,n,t,p,f,c,n,?,?,s,s,w,w,p,w,o,p,k,v,u
e,x,f,g,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,?,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,y,u
e,x,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,y,u
p,x,s,n,t,p,f,c,n,p,e,?,s,w,w,p,w,o,p,?,v,?
e,f,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,?,p,k,y,?
p,x,s,n,t,p,f,c,n,w,e,s,s,w,w,p,?,o,p,n,?,u
e,?,?,g,f,?,f,c,n,k,e,s,s,w,w,p,?,o,p,k,v,u
e,x,f,?,f,n,?,c,n,k,e,s,s,w,w,p,w,o,?,n,y,u
e,x,f,g,f,n,f,c,?,k,e,s,?,w,w,p,w,o,p,k,y,u
e,x,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u
p,x,?,?,t,p,f,c,n,?,e,s,s,w,w,p,w,o,p,k,s,u
p,f,s,n,t,p,f,c,n,p,e,?,s,w,w,p,w,o,p,n,s,u
p,x,s,w,t,p,?,c,n,p,e,s,s,w,w,p,w,o,p,n,?,u
p,f,s,w,t,?,f,c,n,n,e,s,s,?,w,p,?,o,p,k,s,u
p,f,s,w,t,p,f,c,n,?,?,s,s,w,w,p,w,o,p,k,v,u
p,x,s,n,t,p,f,c,n,w,e,s,s,w,w,p,?,o,?,k,v,u
p,f,s,w,t,?,f,c,?,w,e,s,s,w,w,p,w,o,p,n,v,u
p,f,s,b,t,f,f,c,?,w,t,s,s,w,w,p,w,o,p,h,?,u
p,x,s,g,t,f,?,?,b,p,t,f,f,w,w,p,w,o,p,h,s,?
p,x,s,b,t,f,f,c,b,w,t,s,f,?,w,p,w,o,p,h,s,u
p,?,s,?,t,f,f,c,b,h,t,f,f,w,w,p,w,o,?,h,s,u
p,f,s,g,t,f,f,?,b,w,t,s,f,?,w,p,?,o,p,h,v,u
p,x,s,w,t,f,f,c,b,?,t,?,f,w,w,p,w,o,p,h,s,u
p,f,?,?,t,f,f,c,?,h,t,s,s,w,w,p,w,o,p,h,s,u
p,?,s,g,t,f,f,c,b,h,?,f,s,w,w,p,w,o,p,h,v,u
p,x,s,g,t,f,f,c,b,h,t,s,f,w,w,p,w,o,p,h,v,u
p,f,s,w,t,f,f,?,b,h,t,f,?,w,w,p,w,o,p,h,v,u
p,f,s,g,t,?,f,c,b,?,t,s,s,w,w,p,w,o,p,h,v,u
p,?,s,b,t,f,f,?,b,p,t,f,f,w,w,p,w,o,p,h,v,u
p,f,s,g,t,f,f,c,b,h,t,s,f,w,w,?,w,o,p,h,v,u
p,x,s,b,?,f,f,?,b,h,t,s,f,?,w,p,w,o,p,h,v,u
e,f,y,n,t,l,f,c,b,n,e,s,y,w,?,?,?,o,p,k,y,g
e,f,y,n,?,a,f,c,b,w,e,s,y,w,w,p,?,?,p,k,s,g
e,f,s,?,f,n,f,w,b,k,t,s,s,w,w,p,w,?,e,k,a,g
e,b,s,y,t,l,f,c,b,?,e,s,s,w,w,p,w,o,p,n,s,g
e,x,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,?
e,b,s,y,t,?,f,c,b,k,e,?,s,w,w,p,w,o,p,k,s,g
e,f,s,n,f,n,f,w,b,p,t,f,s,w,?,p,?,o,e,n,a,g
e,b,s,y,t,l,f,c,b,w,e,s,s,w,w,p,?,o,p,?,s,g
e,f,?,n,f,n,f,w,b,n,t,s,s,w,w,p,w,o,e,?,a,?
e,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,?,o,?,n,n,g
p,x,s,n,t,?,?,c,n,w,e,s,s,w,w,p,w,o,p,n,s,g
p,x,y,w,?,p,f,c,n,k,e,?,s,w,w,p,w,o,p,n,s,?
e,f,s,n,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,n,a,g
e,b,s,w,t,l,f,c,?,w,e,s,s,w,w,p,?,o,p,n,?,g
e,x,y,n,t,a,f,?,b,n,e,s,y,w,w,p,?,o,p,n,y,g
e,x,y,?,t,?,f,?,?,g,e,s,s,w,w,p,w,o,?,k,s,?
e,f,f,n,f,?,f,w,b,p,t,s,s,w,w,p,w,o,e,k,?,g
e,b,y,w,t,a,f,c,b,n,e,s,s,?,w,p,w,o,p,n,s,g
e,x,y,y,t,a,f,c,?,w,e,s,y,w,w,p,w,o,p,n,y,g
p,x,s,w,t,p,f,?,n,?,e,s,s,w,w,p,w,?,p,n,s,g
e,b,?,y,t,l,f,c,b,?,e,s,s,w,w,p,w,o,?,k,s,g
e,x,y,?,t,a,f,c,b,p,e,s,y,?,?,?,w,o,p,?,s,g
e,x,y,w,?,a,f,c,b,k,e,s,s,w,w,?,w,o,?,k,n,g
e,f,y,y,t,l,f,c,b,w,e,s,?,w,w,p,w,?,p,k,?,g
e,?,y,n,t,l,f,c,b,p,e,s,y,w,w,p,w,?,p,k,y,?
e,?,y,w,t,l,f,c,?,g,e,s,s,w,w,p,w,o,p,?,s,g
e,?,y,w,t,a,f,c,b,g,e,?,s,w,w,p,w,o,p,n,n,?
e,x,y,w,t,a,f,c,b,w,e,s,s,w,?,p,w,o,p,k,n,g
e,?,s,y,t,l,?,c,b,n,e,s,?,w,w,p,?,?,p,?,s,g
e,x,s,w,t,l,f,c,b,g,e,s,s,w,w,p,?,o,p,k,n,g
e,x,s,n,f,n,f,w,b,h,t,f,?,?,w,p,w,o,e,n,a,g
e,?,y,?,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,?
e,x,?,g,f,n,f,w,b,n,t,s,f,w,w,?,w,o,e,n,a,g
e,x,?,g,f,n,f,w,b,n,t,?,f,w,w,p,w,o,e,k,s,g
e,x,s,g,f,n,f,w,b,k,?,s,?,w,w,p,?,o,e,k,a,g
p,x,s,w,t,p,f,c,n,w,?,s,s,w,w,p,w,o,p,k,v,g
e,f,y,?,t,l,f,c,?,n,e,s,y,w,?,p,?,o,p,n,s,g
e,x,s,w,f,n,f,w,b,p,t,s,s,?,w,p,w,o,e,n,s,g
e,f,s,g,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,s,g
e,x,s,w,f,n,f,w,b,?,t,s,f,w,w,p,w,o,e,n,a,g
e,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,?,o,p,k,n,g
e,x,f,g,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,k,s,g
e,x,s,n,f,n,?,w,b,h,t,f,f,w,w,p,w,?,?,n,a,g
e,x,s,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,s,g
e,x,f,?,f,n,f,w,b,n,t,f,?,w,w,p,w,o,?,k,a,g
e,x,s,w,f,n,f,w,b,k,t,s,f,w,?,p,w,o,e,k,?,g
p,x,y,w,t,p,f,c,?,n,e,s,s,?,w,p,w,o,p,k,v,g
e,x,s,g,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,k,s,g
e,?,s,w,f,n,f,w,b,n,t,f,f,w,w,p,?,o,?,n,a,g
e,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g
e,x,?,n,f,n,f,w,b,p,t,s,f,w,w,p,w,o,?,k,?,g
e,x,y,y,t,a,f,c,b,n,e,s,y,w,w,?,?,o,p,k,s,g
e,f,f,g,f,n,?,w,b,?,t,f,s,w,w,p,w,o,?,k,a,g
p,x,s,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,?,a,g
e,f,f,g,f,n,f,w,b,p,t,?,?,w,w,p,w,o,e,k,a,g
e,x,s,w,f,n,f,?,b,h,?,s,s,w,w,p,w,o,e,k,s,g
e,x,f,?,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,n,a,g
e,f,s,g,f,n,f,?,?,k,t,s,f,w,w,p,w,o,e,n,a,g
e,b,?,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,?,?
e,x,s,g,f,n,f,w,b,k,t,s,f,?,w,?,w,o,e,n,a,g
e,x,s,w,?,n,f,w,?,?,t,s,f,w,?,p,w,o,e,k,?,g
e,x,s,?,f,n,f,w,b,p,t,f,?,w,w,p,w,o,e,k,a,g
e,?,?,n,f,n,f,w,b,k,?,s,f,w,w,p,w,o,?,n,?,g
p,f,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,g
e,f,f,n,f,n,f,w,?,k,t,s,s,w,w,p,w,o,e,n,?,g
e,f,s,n,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,k,s,g
e,f,?,n,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,a,g
e,x,s,g,f,n,f,w,?,n,t,s,f,w,w,p,w,o,e,k,a,g
e,x,s,w,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,?,g
e,?,f,n,f,n,f,w,b,n,t,f,f,w,w,p,w,o,e,n,a,g
e,f,f,g,f,?,f,w,b,h,?,s,s,w,w,p,w,o,e,k,a,g
e,f,s,n,f,n,f,w,b,k,t,f,f,?,w,p,w,o,e,n,?,g
e,b,y,y,?,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g
